ID,GON,Continent,Country,City,Branch,Specialization,Dev Center,TW Number,State,PDG,Payment Center,Office,Resource Type,Type of WTE,Level,Company,WTE,Date,Program,Agreement
3593588,21342123,America,USA,Chicago,IT,T17,DC1,2716,Illinois,HAJW,PE1,CHG,Outer Personnel,Leased,NA,DBG,-1,21/09/2020,PR1,CNT2132
2837823,21342123,America,USA,Chicago,IT,T17,DC1,2716,Illinois,HSHS,PE1,CHG,Local,Full,Level 2,CWG,1,21/09/2020,PR2,
9899878,98982762,America,USA,Denver,IT,T17,DC1,2716,Colorado,PPOL,PE3,DVN,Local,Full,Level 3,CWG,-1,01/03/2020,PR1,
9012345,98982762,America,USA,Denver,IT,T17,DC1,2716,Colorado,AWAE,PE1,DVN,Local,Full,Level 3,CWG,1,01/03/2020,PR1,
8009878,98982762,America,USA,Denver,IT,T17,DC1,2716,Colorado,SOTU,PE3,DVN,Local,Full,Level 3,CWG,1,01/05/2020,PR1,
7009876,98982762,America,USA,Denver,IT,T17,DC1,2716,Colorado,SOOO,PE1,DVN,Local,Full,Level 3,CWG,-1,01/05/2020,PR1,
1122348,98982762,America,USA,Denver,IT,T17,DC4,2716,Colorado,POOL,PE3,DVN,Local,Full,Level 3,CWG,1,01/09/2020,PR1,
9090902,98982762,America,USA,Denver,IT,T17,DC3,2716,Colorado,SUWA,PE1,DVN,Local,Full,Level 3,CWG,-1,01/09/2020,PR2,
9838381,27272727,America,USA,Denver,IT,T17,DC3,2716,Colorado,SUWA,PE1,DVN,Local,Full,Level 3,CWG,-1,01/09/2020,PR2,
9838382,27272727,America,USA,Denver,IT,T17,DC3,2716,Colorado,SUWA,PE1,DVN,Local,Full,Level 3,CWG,1,01/09/2020,PR2,
1100048,55598083,America,USA,Denver,IT,T17,DC4,2716,Colorado,POOL,PE3,DVN,Local,Full,Level 3,CWG,1,01/09/2020,PR1,
1100049,55598083,America,USA,Denver,IT,T17,DC3,2716,Colorado,SUWA,PE1,DVN,Local,Full,Level 3,CWG,1,01/08/2020,PR2,
7263524,13412312,America,USA,Atlanta,IT,T98,DC1,2716,Georgia,PNSD,PE1,ATG,Local,Full,Level 2,CWG,-1,01/09/2020,PR1,CNT1323
7263525,13412312,America,USA,Chicago,IT,T17,DC1,2716,Illinois,HAJW,PE3,CHA,Local,Full,Level 2,CWG,1,01/09/2020,PR2,
4587984,83729738,America,USA,Chicago,IT,T17,DC1,2716,Illinois,HSHS,PE3,CHA,Local – Basic,Full,Level 1,CWG,1,01/01/2023,PR2,
4587985,83729738,America,USA,Chicago,IT,T17,DC1,2716,Illinois,HAJW,PE3,CHA,Local,Full,Level 1,CWG,-1,01/01/2023,PR2,
4530302,91777654,America,USA,Chicago,IT,T17,DC1,2716,Illinois,HSHS,PE3,CHA,Outer Personnel (Leased – Time & Materials),Leased,NA,DBG,-1,01/01/2023,PR2,
4530303,91777654,America,USA,Chicago,IT,T17,DC1,2716,Illinois,HAJW,PE3,CHA,Outer Personnel (Pain Share),Leased,NA,DBG,1,01/01/2023,PR2,
4380053,77170009,America,USA,Chicago,IT,T17,DC1,2716,Illinois,HSHS,PE3,CHA,Outer Personnel (Pain Share),Leased,NA,DBG,1,01/01/2023,PR2,
4554994,77170009,America,USA,Chicago,IT,T17,DC1,2716,Illinois,HAJW,PE3,CHG,Outer Personnel (Leased - Fixed Price),Leased,NA,DBG,-1,01/01/2023,PR2,
4380098,98987898,America,USA,Chicago,IT,T17,DC1,2716,Illinois,HSHS,PE3,CHG,Outer Personnel (Pain Share),Leased,NA,DBG,1,01/01/2023,PR2,
4554999,98987898,America,USA,Chicago,IT,T17,DC1,2716,Illinois,HSHS,PE3,CHG,Outer Personnel (Leased – Time & Materials),Leased,NA,DBG,-1,01/01/2023,PR2,
1928182,12837928,America,USA,Denver,IT,T17,DC1,2716,Colorado,PPOL,PE3,DVN,Outer Personnel (Leased – Time & Materials),Leased,NA,DBG,-1,01/01/2023,PR2,
1928183,12837928,America,USA,Atlanta,IT,T17,DC1,2716,Georgia,PNSD,PE3,ATG,Outer Personnel (Leased - Fixed Price),Leased,NA,DBG,1,01/01/2023,PR2,
4530300,91777654,America,USA,Chicago,IT,T17,DC1,2716,Illinois,HAJW,PE3,CHA,Outer Personnel (Pain Share),Leased,NA,DBG,1,01/01/2023,PR2,
